Date,State,Region,Energy_Requirement_MU,Energy_Supplied_MU,Energy_Deficit_MU,Energy_Deficit_Percent,Peak_Demand_MW,Peak_Met_MW,Peak_Deficit_MW,Outage_Frequency,Average_Recovery_Time_Hours
2015-01-01,Uttar Pradesh,Northern,8143.21,7599.17,544.05,6.681,16965.03,15551.87,1413.16,41,5.21
2015-02-01,Uttar Pradesh,Northern,7291.61,6851.7,439.92,6.033,15190.86,14011.0,1179.87,39,5.98
2015-03-01,Uttar Pradesh,Northern,7785.57,7292.67,492.9,6.331,16219.93,14829.26,1390.67,39,4.92
2015-04-01,Uttar Pradesh,Northern,9921.81,7842.22,2079.59,20.96,20670.44,14582.14,6088.3,84,7.0
2015-05-01,Uttar Pradesh,Northern,9779.84,7953.01,1826.83,18.68,20374.66,15451.7,4922.96,81,7.52
2015-06-01,Uttar Pradesh,Northern,9916.96,8495.94,1421.02,14.329,20660.33,16762.6,3897.74,69,7.0
2015-07-01,Uttar Pradesh,Northern,10522.03,9137.81,1384.22,13.155,21920.9,17606.56,4314.34,65,7.44
2015-08-01,Uttar Pradesh,Northern,7995.57,7306.12,689.45,8.623,16657.44,14883.88,1773.56,47,5.19
2015-09-01,Uttar Pradesh,Northern,7689.89,7083.86,606.02,7.881,16020.6,14169.5,1851.1,44,5.68
2015-10-01,Uttar Pradesh,Northern,9455.72,8813.75,641.97,6.789,19699.42,18084.29,1615.13,40,5.91
2015-11-01,Uttar Pradesh,Northern,9118.36,8331.08,787.28,8.634,18996.58,16905.72,2090.86,47,5.1
2015-12-01,Uttar Pradesh,Northern,9216.9,8377.5,839.39,9.107,19201.87,16681.76,2520.1,50,5.66
2016-01-01,Uttar Pradesh,Northern,7599.45,7059.72,539.73,7.102,15832.19,14192.52,1639.67,40,4.17
2016-02-01,Uttar Pradesh,Northern,7824.62,7409.64,414.97,5.303,16301.28,15180.03,1121.26,40,5.42
2016-03-01,Uttar Pradesh,Northern,7828.52,7469.38,359.14,4.588,16309.43,15274.74,1034.69,34,5.74
2016-04-01,Uttar Pradesh,Northern,10515.13,9261.69,1253.45,11.92,21906.53,18583.29,3323.24,64,7.15
2016-05-01,Uttar Pradesh,Northern,11183.46,9834.98,1348.49,12.058,23298.89,19223.67,4075.21,62,8.0
2016-06-01,Uttar Pradesh,Northern,10409.89,8866.91,1542.98,14.822,21687.26,17661.67,4025.6,70,6.54
2016-07-01,Uttar Pradesh,Northern,10634.09,8940.53,1693.55,15.926,22154.35,17055.46,5098.89,73,6.43
2016-08-01,Uttar Pradesh,Northern,8081.47,7482.35,599.12,7.414,16836.39,15307.08,1529.31,44,6.11
2016-09-01,Uttar Pradesh,Northern,7688.19,7169.44,518.75,6.747,16017.06,14508.8,1508.26,41,6.08
2016-10-01,Uttar Pradesh,Northern,9404.96,8662.53,742.43,7.894,19593.66,17694.13,1899.53,44,6.45
2016-11-01,Uttar Pradesh,Northern,9924.19,9245.97,678.22,6.834,20675.39,18642.94,2032.46,42,5.02
2016-12-01,Uttar Pradesh,Northern,9265.19,8624.28,640.91,6.917,19302.47,17312.99,1989.48,44,5.87
2017-01-01,Uttar Pradesh,Northern,8206.33,7706.96,499.38,6.085,17096.53,15670.16,1426.37,40,6.03
2017-02-01,Uttar Pradesh,Northern,8627.15,8129.13,498.02,5.773,17973.22,16636.8,1336.43,44,6.19
2017-03-01,Uttar Pradesh,Northern,8616.14,8154.39,461.75,5.359,17950.29,16768.79,1181.5,36,6.66
2017-04-01,Uttar Pradesh,Northern,10808.92,9424.97,1383.95,12.804,22518.59,18948.8,3569.79,66,7.69
2017-05-01,Uttar Pradesh,Northern,11203.93,9657.63,1546.3,13.801,23341.52,18774.05,4567.47,69,6.75
2017-06-01,Uttar Pradesh,Northern,10741.45,9074.96,1666.5,15.515,22378.02,17785.84,4592.19,70,7.58
2017-07-01,Uttar Pradesh,Northern,11375.7,9837.94,1537.76,13.518,23699.38,19585.94,4113.44,69,7.78
2017-08-01,Uttar Pradesh,Northern,7820.66,7467.59,353.07,4.515,16293.04,15305.72,987.31,34,5.89
2017-09-01,Uttar Pradesh,Northern,8326.18,7924.58,401.6,4.823,17346.22,16187.64,1158.58,35,6.22
2017-10-01,Uttar Pradesh,Northern,9644.35,9043.81,600.53,6.227,20092.39,18564.57,1527.82,39,5.73
2017-11-01,Uttar Pradesh,Northern,9969.4,9434.4,535.0,5.366,20769.59,19216.98,1552.61,41,5.26
2017-12-01,Uttar Pradesh,Northern,9786.33,9169.69,616.64,6.301,20388.19,18578.07,1810.12,43,5.32
2018-01-01,Uttar Pradesh,Northern,8733.43,8298.49,434.94,4.98,18194.64,17014.64,1180.0,39,5.51
2018-02-01,Uttar Pradesh,Northern,9269.68,8884.66,385.02,4.154,19311.84,18346.68,965.16,34,5.93
2018-03-01,Uttar Pradesh,Northern,9248.67,8770.54,478.13,5.17,19268.06,17938.72,1329.34,38,5.81
2018-04-01,Uttar Pradesh,Northern,11475.33,10271.17,1204.16,10.493,23906.93,20564.25,3342.69,58,6.81
2018-05-01,Uttar Pradesh,Northern,11548.75,10543.52,1005.23,8.704,24059.89,21493.97,2565.92,54,6.91
2018-06-01,Uttar Pradesh,Northern,11398.62,9944.52,1454.1,12.757,23747.13,19373.19,4373.94,66,6.45
2018-07-01,Uttar Pradesh,Northern,12027.39,10437.55,1589.84,13.219,25057.07,20971.97,4085.1,64,6.81
2018-08-01,Uttar Pradesh,Northern,8411.91,8066.25,345.66,4.109,17524.81,16534.64,990.17,36,5.89
2018-09-01,Uttar Pradesh,Northern,9283.13,8946.7,336.44,3.624,19339.86,18382.31,957.55,37,5.44
2018-10-01,Uttar Pradesh,Northern,10615.47,10183.08,432.39,4.073,22115.56,20939.1,1176.46,33,4.82
2018-11-01,Uttar Pradesh,Northern,10401.21,9824.26,576.95,5.547,21669.19,19979.91,1689.28,42,6.09
2018-12-01,Uttar Pradesh,Northern,10656.68,10305.58,351.1,3.295,22201.41,21110.82,1090.59,34,6.18
2019-01-01,Uttar Pradesh,Northern,8800.17,8351.24,448.93,5.101,18333.7,16931.73,1401.96,40,4.82
2019-02-01,Uttar Pradesh,Northern,9476.8,9100.99,375.81,3.966,19743.33,18646.08,1097.25,38,5.35
2019-03-01,Uttar Pradesh,Northern,9221.0,8778.03,442.97,4.804,19210.42,18044.02,1166.39,35,6.03
2019-04-01,Uttar Pradesh,Northern,12071.52,11039.19,1032.32,8.552,25149.0,22236.56,2912.44,56,7.51
2019-05-01,Uttar Pradesh,Northern,12901.15,11776.47,1124.68,8.718,26877.4,23376.81,3500.58,55,7.33
2019-06-01,Uttar Pradesh,Northern,11887.81,10915.1,972.71,8.182,24766.28,21928.66,2837.62,51,7.63
2019-07-01,Uttar Pradesh,Northern,11741.0,10899.05,841.95,7.171,24460.41,22308.86,2151.55,50,7.18
2019-08-01,Uttar Pradesh,Northern,9016.82,8731.91,284.9,3.16,18785.04,18058.22,726.82,32,6.1
2019-09-01,Uttar Pradesh,Northern,9086.14,8764.87,321.27,3.536,18929.45,18084.25,845.2,34,6.32
2019-10-01,Uttar Pradesh,Northern,10425.76,10048.0,377.76,3.623,21720.33,20655.14,1065.2,33,5.66
2019-11-01,Uttar Pradesh,Northern,10736.32,10367.03,369.29,3.44,22367.33,21439.46,927.86,33,6.34
2019-12-01,Uttar Pradesh,Northern,11234.02,10786.09,447.92,3.987,23404.2,22120.1,1284.1,34,5.07
2020-01-01,Uttar Pradesh,Northern,9652.95,9353.23,299.71,3.105,20110.3,19294.32,815.99,33,5.27
2020-02-01,Uttar Pradesh,Northern,9177.3,8941.69,235.61,2.567,19119.38,18398.3,721.08,29,5.23
2020-03-01,Uttar Pradesh,Northern,9617.74,9233.48,384.27,3.995,20036.97,18880.06,1156.9,33,5.76
2020-04-01,Uttar Pradesh,Northern,13257.8,12176.86,1080.94,8.153,27620.41,24791.69,2828.71,53,6.77
